"URL","Artist","Hometown","Tags","Description","Description HTML","Picture Link","Youtube Link"
"http://do512.com/c/sx2013/bands/dfi","DFI","AUSTIN, US","dj, downtempo","Electronica / Experimental / Metal","<p>Electronica / Experimental / Metal</p> </div>","http://s3.amazonaws.com/dostuff-production/photos/6895095/2bbca2735a8dec5efa135ce1eadb4a6f_poster.jpeg",""
"http://do512.com/c/sx2013/bands/the-neal-pollack-invasion","The Neal Pollack Invasion","Austin, TX","","Because no one demanded it, Chicken Ranch Records is reissuing legendary writer Neal Pollack’s album, “Never Mind The Pollacks” on LP and Digital in spring 2013. The album, recorded in two days ten years ago with Pollack’s band, The Neal Pollack Invasion, will contain one newly recorded bonus track, “Beer and Weed”. The Invasion will perform showcases at SXSW 2013, maybe a couple on Record Store Day later in the year, and possibly a show in New Orleans if they can fit it into their schedules. Then they will more than likely disband forever.","<p>Because no one demanded it, Chicken Ranch Records is reissuing legendary writer Neal Pollack’s album, “Never Mind The Pollacks” on LP and Digital in spring 2013. The album, recorded in two days ten years ago with Pollack’s band, The Neal Pollack Invasion, will contain one newly recorded bonus track, “Beer and Weed”. The Invasion will perform showcases at <span class=""caps"">SXSW</span> 2013, maybe a couple on Record Store Day later in the year, and possibly a show in New Orleans if they can fit it into their schedules. Then they will more than likely disband forever.</p> </div>","http://s3.amazonaws.com/dostuff-production/photos/7021441/3e0c8f4560e06870b6ab627452b33750_poster.jpeg",""
"http://do512.com/c/sx2013/bands/subsonics","Subsonics","","","","","http://cdn2.dostuffmedia.com/themes/metro_shell_v1/images/icons/logo_177.gif?1361569918","http://www.youtube.com/e/F-MTDNIs-VE?enablejsapi=1&version=3"
"http://do512.com/c/sx2013/bands/the-freshest","The Freshest","","","THE FRESHESTThe Freshest are those dudes! Comprised of DJ’s Seko, Marvel, Kutcorners, and Rico Uno they are quickly becoming the most versatile party-rocking DJ collective in the country. You can find The Freshest DJing the hottest club nights Vancouver has to offer, from weekend shows at mega-clubs to trendsetting weeknight parties. Their podcast has been featured on Vancouver’s #1 radio station The Beat 94.5, and their remixes are played by international DJ’s at parties like The Rub in Brooklyn to Hollywood’s LAX. Whenever you step into a Freshest party expect the best hip hop, dance, reggae/dancehall, disco, Motown and more: the eclectic winning formula that has solidified The Freshest as Vancouver’s most exciting and in-demand club DJ’s.PAST SHOWS:Mos Def, Clipse, Nas, Sir Mix-A-Lot, Peanut Butter Wolf, Kool Keith, The Roots, Fat Joe, De La Soul, Hollertronix, The Rub, Slum Village,Tittsworth, El-P, K-OS, Devin the Dude, Chromeo, Team Canada, Biz Markie, DJ Mehdi, Spankrock, Kid Sister, Cool Kids, Keys n’ Krates, Skratch Bastid, Raekwon, Rye Rye, Common, Lupe Fiasco, Juelz Santana, Smalltown DJ’s, The Beatnuts, Tha Alkaholiks, Little Brother, Nick Catchdubs, Roc Raida, Vinroc, GZA, DJ Fashen, Rob Base & DJ EZ Rock, DJ AM, Boyz 2 Men, Kid Cudi, and Major Lazer.COLLABORATIONS:EA Games, Red Bull, Freshjive, RVCA, Stussy, LRG, éS, Livestock, Aritzia, Dipt, Goodfoot, DHM, Gman & Rizk, Royal Caribbean, Mad Decent, Cypress Mountain, The Vancouver Canucks, and Monster Energy Drink.FUNDRAISERS:Salamat Typhon relief for the Philippines, Up with hope Fundraiser for Recycling Centers in Kenyan Slums, Japan Love, Charlies AngelsRICO UNOFacebook: Listn.to/RicoUnoTwitter: Twitter.com/RicounoFavorite Mix - Re-Up For AritziaDJ SEKOFacebook: Facebook.com/DJSeko604Twitter: Twiitter.com/DJSekoFavorite Mix: Guest Mix For The Press Play Show on Sirius / XMDJ MARVELFacebook: Facebook.com/DJMarvel Twitter: Twitter.com/DJ_MarvelFavorite Mix: Guest Mix For Hunt FMKUTCORNERSFacebook: Facebook.com/KutcornersTwitter: Twitter.com/KutcornersFavorite Mix - Diamond MixTHE FRESHEST – RESIDENCIESRico Uno: Tuesdays – &nbsp;<a href=""http://www.clubzone.com/events/103669/vancouver/celebrities-night-club/celebrities-tuesdays-vancouvers-busiest-weekly-party"">Celebrities</a>&nbsp;(Monthly)</span></div></div></div><div style=""color: rgb(0, 0, 0); font-family: Arial, sans-serif; font-size: 12px; line-height: 17.96875px;""><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">Rico Uno: Friday -&nbsp;<a href=""http://www.fortunesoundclub.blogspot.com/"">Happy Ending</a>&nbsp; FortuneRico Uno: Saturday - Glory Days @ The BiltmoreRico Uno: Sunday Reggae @ RepublicMarvel: Friday - Happy Ending @ FortuneMarvel: Saturdays - El Segundo @ The HelmMarvel: Sundays - The Goodlife @ RepublicKutcorners: Friday - Rad Times @ The AstoriaKutcorners: Sunday The Goodlife @ RepublicDJ Seko: Monthly - Hip Hop Karaoke @ Fortune SoundDJ Seko: Saturdays - El Segundo @ The HelmDJ Seko: Sunday - Good Life @ Republic","<div style=""color: rgb(0, 0, 0); font-family: Arial, sans-serif; font-size: 12px; line-height: 17.96875px; clear: both; text-align: center;""><a href=""http://1.bp.blogspot.com/-SxeXtdHxO-4/TciIonGVmHI/AAAAAAAABpo/3sGlMI0ekwY/s1600/freshest4WEB.jpg""><span style=""font-family: Arial, Helvetica, sans-serif;""><img width=""400"" alt="""" src=""http://1.bp.blogspot.com/-SxeXtdHxO-4/TciIonGVmHI/AAAAAAAABpo/3sGlMI0ekwY/s400/freshest4WEB.jpg"" height=""397"" style=""border: 1px solid rgb(255, 255, 255); margin-bottom: 5px; padding: 4px;""></span></a></div><div style=""color: rgb(0, 0, 0); font-family: Arial, sans-serif; font-size: 12px; line-height: 17.96875px;""><div style=""text-align: center;""><b><span style=""font-family: Arial, Helvetica, sans-serif;""><span class=""caps"">THE</span> <span class=""caps"">FRESHEST</span></span></b></div><p></div><div style=""color: rgb(0, 0, 0); font-family: Arial, sans-serif; font-size: 12px; line-height: 17.96875px;""><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">The Freshest are those dudes! Comprised of DJ’s Seko, Marvel, Kutcorners, and Rico Uno they are quickly becoming the most versatile party-rocking DJ collective in the country. You can find The Freshest DJing the hottest club nights Vancouver has to offer, from weekend shows at mega-clubs to trendsetting weeknight parties. Their podcast has been featured on Vancouver’s #1 radio station The Beat 94.5, and their remixes are played by international DJ’s at parties like The Rub in Brooklyn to Hollywood’s <span class=""caps"">LAX</span>. Whenever you step into a Freshest party expect the best hip hop, dance, reggae/dancehall, disco, Motown and more: the eclectic winning formula that has solidified The Freshest as Vancouver’s most exciting and in-demand club DJ’s.</span></div></div><div style=""color: rgb(0, 0, 0); font-family: Arial, sans-serif; font-size: 12px; line-height: 17.96875px;""><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><br></span></div></div><div style=""color: rgb(0, 0, 0); font-family: Arial, sans-serif; font-size: 12px; line-height: 17.96875px;""><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><span class=""caps"">PAST</span> <span class=""caps"">SHOWS</span>:</span></div></div><div style=""color: rgb(0, 0, 0); font-family: Arial, sans-serif; font-size: 12px; line-height: 17.96875px;""><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">Mos Def, Clipse, Nas, Sir Mix-A-Lot, Peanut Butter Wolf, Kool Keith, The Roots, Fat Joe, De La Soul, Hollertronix, The Rub, Slum Village,Tittsworth, El-P, K-OS, Devin the Dude, Chromeo, Team Canada, Biz Markie, DJ Mehdi, Spankrock, Kid Sister, Cool Kids, Keys n’ Krates, Skratch Bastid, Raekwon, Rye Rye, Common, Lupe Fiasco, Juelz Santana, Smalltown DJ’s, The Beatnuts, Tha Alkaholiks, Little Brother, Nick Catchdubs, Roc Raida, Vinroc, <span class=""caps"">GZA</span>, DJ Fashen, Rob Base & DJ EZ Rock, DJ AM, Boyz 2 Men, Kid Cudi, and Major Lazer.</span></div></div><div style=""color: rgb(0, 0, 0); font-family: Arial, sans-serif; font-size: 12px; line-height: 17.96875px;""><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><br></span></div></div><div style=""color: rgb(0, 0, 0); font-family: Arial, sans-serif; font-size: 12px; line-height: 17.96875px;""><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><span class=""caps"">COLLABORATIONS</span>:</span></div></div><div style=""color: rgb(0, 0, 0); font-family: Arial, sans-serif; font-size: 12px; line-height: 17.96875px;""><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">EA Games, Red Bull, Freshjive, <span class=""caps"">RVCA</span>, Stussy, <span class=""caps"">LRG</span>, éS, Livestock, Aritzia, Dipt, Goodfoot, <span class=""caps"">DHM</span>, Gman & Rizk, Royal Caribbean, Mad Decent, Cypress Mountain, The Vancouver Canucks, and Monster Energy Drink.</span></div></div><div style=""color: rgb(0, 0, 0); font-family: Arial, sans-serif; font-size: 12px; line-height: 17.96875px;""><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><br></span></div></div><div style=""color: rgb(0, 0, 0); font-family: Arial, sans-serif; font-size: 12px; line-height: 17.96875px;""><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><span class=""caps"">FUNDRAISERS</span>:</span></div></div><div style=""color: rgb(0, 0, 0); font-family: Arial, sans-serif; font-size: 12px; line-height: 17.96875px;""><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">Salamat Typhon relief for the Philippines, Up with hope Fundraiser for Recycling Centers in Kenyan Slums, Japan Love, Charlies Angels</span></div></div><div style=""color: rgb(0, 0, 0); font-family: Arial, sans-serif; font-size: 12px; line-height: 17.96875px;""><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><br></span></div></div><div style=""color: rgb(0, 0, 0); font-family: Arial, sans-serif; font-size: 12px; line-height: 17.96875px;""><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><br></span></div></div><div style=""clear: both; text-align: center;""><a href=""http://4.bp.blogspot.com/-piGYXzIbQOw/TchySorKhrI/AAAAAAAABpY/OZIG0KG5iDI/s1600/Rico8WEB.jpg""><span style=""font-family: Arial, Helvetica, sans-serif;""><img width=""400"" alt="""" src=""http://4.bp.blogspot.com/-piGYXzIbQOw/TchySorKhrI/AAAAAAAABpY/OZIG0KG5iDI/s400/Rico8WEB.jpg"" height=""266"" style=""border: 1px solid rgb(255, 255, 255); margin-bottom: 5px; padding: 4px;""></span></a></div><div><div style=""text-align: center;""><b><span style=""font-family: Arial, Helvetica, sans-serif;""><span class=""caps"">RICO</span> <span class=""caps"">UNO</span></span></b><br><b></b><span style=""font-family: Arial, Helvetica, sans-serif;""><b>Facebook</b><b>: </b><a href=""http://listn.to/RicoUno"">Listn.to/RicoUno</a></span></div></div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><b>Twitter: </b><a href=""http://twitter.com/Ricouno"">Twitter.com/Ricouno</a></span><br><span style=""font-family: Arial, Helvetica, sans-serif;""><b>Favorite Mix - </b><a href=""http://soundcloud.com/aritzia/re-up-4-aritzia"">Re-Up For Aritzia</a></span><br><br></div></div><div><div style=""clear: both; text-align: center;""><a href=""http://3.bp.blogspot.com/-HI4pL3X0H_8/TcjzVJf8RII/AAAAAAAABp8/6P7dPDMgvag/s1600/SekoBWWEB.jpg""><img width=""266"" alt="""" src=""http://3.bp.blogspot.com/-HI4pL3X0H_8/TcjzVJf8RII/AAAAAAAABp8/6P7dPDMgvag/s400/SekoBWWEB.jpg"" height=""400"" style=""border: 1px solid rgb(255, 255, 255); margin-bottom: 5px; padding: 4px;""></a></div><div style=""text-align: center;""><b><span style=""font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; margin-left: 1em; margin-right: 1em;""><a href=""http://3.bp.blogspot.com/-q93fPZZR-UQ/TchyyYQQFqI/AAAAAAAABpg/O1-VU1Pog40/s1600/sekoBW2WEB.jpg""></a></span></span></b><b><b><span style=""font-family: Arial, Helvetica, sans-serif;"">DJ <span class=""caps"">SEKO</span></span></b></b><br><b><b></b></b><span style=""font-family: Arial, Helvetica, sans-serif;""><b>Facebook: <a href=""http://www.blogger.com/goog_633853549"">F</a></b><a href=""http://acebook.com/DJSeko604"">acebook.com/DJSeko604</a></span></div><div style=""text-align: center;""><div style=""text-align: left;""><div style=""text-align: center;""><div><span style=""font-family: Arial, Helvetica, sans-serif;""><b>Twitter:</b><a href=""http://www.twitter.com/djseko""><b> T</b>wiitter.com/DJSeko</a></span></div></div></div><div style=""text-align: left;""><div style=""text-align: center;""><div><span style=""font-family: Arial, Helvetica, sans-serif;""><b>Favorite Mix: </b><a href=""http://soundcloud.com/defreshest/dj-seko-dj-p-sol-press-play-show-01-22-2011"">Guest Mix For The Press Play Show on Sirius / XM</a></span></div><div><b><span style=""font-family: Arial, Helvetica, sans-serif;""><br></span></b></div></div></div><b></b></div></div><div style=""clear: both; text-align: center;""><a href=""http://3.bp.blogspot.com/-3Vj-6ZPQJxQ/TchyjetVO4I/AAAAAAAABpc/Pl6uvGzXGRA/s1600/Michael5WEB.jpg""><span style=""font-family: Arial, Helvetica, sans-serif;""><img width=""266"" alt="""" src=""http://3.bp.blogspot.com/-3Vj-6ZPQJxQ/TchyjetVO4I/AAAAAAAABpc/Pl6uvGzXGRA/s400/Michael5WEB.jpg"" height=""400"" style=""border: 1px solid rgb(255, 255, 255); margin-bottom: 5px; padding: 4px;""></span></a></div><div><div style=""text-align: center;""><b><span style=""font-family: Arial, Helvetica, sans-serif;"">DJ <span class=""caps"">MARVEL</span></span></b><br><b></b><span style=""font-family: Arial, Helvetica, sans-serif;""><b>Facebook: </b><a href=""http://facebook.com/DJMarvel"">Facebook.com/DJMarvel</a> </span></div></div><div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><b>Twitter: </b><a href=""http://twitter.com/DJ_Marvel"">Twitter.com/DJ_Marvel</a></span></div></div></div><div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><b>Favorite Mix: </b><a href=""http://hunt.fm/2010/06/22/huntfm-124-a-marvelous-success-w-guest-dj-marvel/"">Guest Mix For Hunt FM</a></span></div></div></div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><br></span></div></div><div style=""clear: both; text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif; margin-left: 1em; margin-right: 1em;""><a href=""http://2.bp.blogspot.com/-f1ibdZAk1Hs/TchzkdS2DVI/AAAAAAAABpk/GyxJmA8LLho/s1600/kutcorners4WEB.jpg""><img width=""266"" alt="""" src=""http://2.bp.blogspot.com/-f1ibdZAk1Hs/TchzkdS2DVI/AAAAAAAABpk/GyxJmA8LLho/s400/kutcorners4WEB.jpg"" height=""400"" style=""border: 1px solid rgb(255, 255, 255); margin-bottom: 5px; padding: 4px;""></a></span></div><div><div style=""text-align: center;""><b><span style=""font-family: Arial, Helvetica, sans-serif;""><span class=""caps"">KUTCORNERS</span></span></b></div></div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">Facebook: <a href=""http://facebook.com/Kutcorners"">Facebook.com/Kutcorners</a></span></div></div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">Twitter: <a href=""http://twitter.com/Kutcorners"">Twitter.com/Kutcorners</a></span></div></div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">Favorite Mix - <a href=""http://soundcloud.com/kutcorners/diamondmix"">Diamond Mix</a></span></div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><br></span></div></div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><br></span></div></div><div><div style=""text-align: center;""><b><span style=""font-family: Arial, Helvetica, sans-serif;""><span class=""caps"">THE</span> <span class=""caps"">FRESHEST</span> – <span class=""caps"">RESIDENCIES</span></span></b><br><span style=""font-family: Arial, Helvetica, sans-serif;"">Rico Uno: Tuesdays – <code>&nbsp;<a href=""http://www.clubzone.com/events/103669/vancouver/celebrities-night-club/celebrities-tuesdays-vancouvers-busiest-weekly-party"">Celebrities</a>&nbsp;(Monthly)</span></div></div></div><div style=""color: rgb(0, 0, 0); font-family: Arial, sans-serif; font-size: 12px; line-height: 17.96875px;""><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">Rico Uno: Friday -&nbsp;<a href=""http://www.fortunesoundclub.blogspot.com/"">Happy Ending</a>&nbsp;</code> Fortune</span></div></div><div><div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">Rico Uno: Saturday - <a href=""http://www.facebook.com/glorydaysradio?ref=ts"">Glory Days</a> @ The Biltmore</span></div></div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">Rico Uno: <a href=""http://www.clubzone.com/events/Vancouver/62866/Sunday-Reggae"">Sunday Reggae</a> @ Republic</span></div></div></div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><br></span></div></div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">Marvel: Friday - <a href=""http://www.fortunesoundclub.blogspot.com/"">Happy Ending</a> @ Fortune</span></div></div><div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">Marvel: Saturdays - <a href=""http://thefreshestdjs.blogspot.com/2011/01/new-night-el-segundo-w-seko-marvel-helm.html"">El Segundo</a> @ The Helm</span></div></div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">Marvel: Sundays - <a href=""http://hateusonmondays.wordpress.com/"">The Goodlife</a> @ Republic</span></div></div></div><div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><br></span></div></div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">Kutcorners: Friday - <a href=""http://www.youtube.com/watch?v=5blEeOvG5uI"">Rad Times</a> @ The Astoria</span></div></div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">Kutcorners: Sunday <a href=""http://hateusonmondays.wordpress.com/"">The Goodlife</a> @ Republic</span></div></div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;""><br></span></div></div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">DJ Seko: Monthly - <a href=""http://www.facebook.com/event.php?eid=315218634867&ref=ts"">Hip Hop Karaoke</a> @ Fortune Sound</span></div></div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">DJ Seko: Saturdays - <a href=""http://thefreshestdjs.blogspot.com/2011/01/new-night-el-segundo-w-seko-marvel-helm.html"">El Segundo</a> @ The Helm</span></div></div><div><div style=""text-align: center;""><span style=""font-family: Arial, Helvetica, sans-serif;"">DJ Seko: Sunday - <a href=""http://hateusonmondays.wordpress.com/"">Good Life</a> @ Republic</span></div></div></div></div></div></p> </div>","http://s3.amazonaws.com/dostuff-production/photos/7481891/d4ee477ad9c1d9d680a0723b779b6c6d_poster.jpeg","http://www.youtube.com/e/s89C90DN0m8?enablejsapi=1&version=3"
"http://do512.com/c/sx2013/bands/heatbox","Heatbox","MINNEAPOLIS, Minnesota","","Other / A’cappella / Experimental","<p>Other / A’cappella / Experimental</p> </div>","http://s3.amazonaws.com/dostuff-production/photos/7052030/b844f2001d447bd64f86b8c43285d6a6_poster.jpeg","http://www.youtube.com/e/ofFtBSsHeN4?enablejsapi=1&version=3"
"http://do512.com/c/sx2013/bands/the-set","The Set","Minneapolis, MN","rock, indie, alternative","Aside from being the Lutefisk capital of the world, the Twin Cities didn’t have much to be proud of; that is, until The Set exploded onto the scene. With influences that range from African war chants to whistling, The Set is more than a band… they’re a revolution… disguised as a band. In the spring of 2010, the band released their debut five-song EP to earth-shattering critical acclaim. Not convinced? Here are some positive reviews: “The…set… [is good]” – Rolling Stone Magazine The Set’s recent emergence has been part of a lengthy evolution. The band came into fruition in part because of lead singer/guitarist Case Shannon’s years of traveling, writing, and individual recognition. In the years prior to The Set’s formation, Shannon was an established singer-songer, gaining accolades and exposure thanks to a solo showcase at SXSW in 2008 that lead to subsequent radio play on over 200 college radio stations.","<p>Aside from being the Lutefisk capital of the world, the Twin Cities didn’t have much to be proud of; that is, until The Set exploded onto the scene. With influences that range from African war chants to whistling, The Set is more than a band… they’re a revolution… disguised as a band. In the spring of 2010, the band released their debut five-song EP to earth-shattering critical acclaim. Not convinced? Here are some positive reviews:</p> <p>“The…set… [is good]” – Rolling Stone Magazine</p> <p>The Set’s recent emergence has been part of a lengthy evolution. The band came into fruition in part because of lead singer/guitarist Case Shannon’s years of traveling, writing, and individual recognition. In the years prior to The Set’s formation, Shannon was an established singer-songer, gaining accolades and exposure thanks to a solo showcase at <span class=""caps"">SXSW</span> in 2008 that lead to subsequent radio play on over 200 college radio stations.</p> </div>","http://s3.amazonaws.com/dostuff-production/photos/7008967/the_set_cover_art_poster.jpg",""
"http://do512.com/c/sx2013/bands/nimo-the-hooligan","Nimo The Hooligan","Minneapolis","","I have been a DJ/Turntablist since I was 14, started playing house parties and barbeques for friends and it only went on from there. Graduating to my first live performance in local venues like the, now deceased, Dinkytowner, Red Sea, Blue Nile, and the also now deceased, Urban Wild life. After highschool I immediately began college at The Institute of Production and Recording, this didn’t turn out well as I ended up dropping out after only one year to work, save, etc. But the vinyl never stopped spinning through all of it. Not long after leaving IPR I began delving deep into the local scene, meeting people and networking, getting on mixtapes and albums and sitting in at shows or open mics as often as possible. Also along the way, recording a great deal of original music, collaborating with my many music friends, and generally trying to find a semi permanent outlet in the form of one genre of music or another. This also proved to not work out well, as i have, and still do, play with many different genres of music. I also work independently as a Wedding and Event DJ which is a direction I would like to continue going in just for side work. I like to think that i have a Bruce Lee way of going about my musical endeavors, “The style of no style. Flow like water”. I simply wish to push the envelope, as many other DJ/Turntablists are doing, of the acceptable mediums for DJs and Turntablists in general. As of the last 5+ years, I have stayed busy with my friend and collaborator Nobuddie, playing hundreds of shows and recording equally as many tracks, waiting for the right time and material to release to the public. My other main project, is arguably, the funkiest super-group in the Twin Cities, P.B. & The Jam. Having been a band for less than 2 years, we have accomplished much, played much, written much, and have garnered a bunch of acclaim because of it all. I have also been featured on a revolutionary video game called Jam Party, in which the player gets to create/arrange/perform music from local and national artists (soon to be available on PC, Xbox 360, Nintendo Wii, Playstation 3, Iphones, and Androids). I have been blessed with great, talented friends… We as a state are blessed with an ever blossoming music and art community, which in turn blesses the individual artists and the fans for having a healthy, active music scene that attracts live acts from around the country and the world. I have had the blessing of being able to open/perform with many of my personal heros and influences, such as: Method Man/Redman Eyedea & Abilities POS of Doom Tree Prof/Fundo Joell Ortiz Tech N9ne D-12 DJ Logic Mr. Dibbs St. Paul Slim Bone Thugs n’ Harmony Wookiefoot Heatbox House of Pain/Everlast Cunninlynguists Greives Mac Lethal George Clinton/Parliment Soulcrate The Crest King Sandman Just to name a few… I have been able to meet alot of people, go alot of places, and do alot of amazing things. None of this mentions the amazing people that i have the pleasure and joy of performing with on a regular basis in the Twin Cities… big shout outs go to: Out of Bounds, Fill in The Breaks crew, Hecatomb, Stophouse, The Background Noize Crew, Option 2, Wide Eyes, Moonlight Grammar, Mercies May, Desdamona, Big Jess & Unknown Prophets, More than Lights, Bottom Feeders, New Reb, Jon Wayne & The Payne, Root City Band, and too many others to name.","<p>I have been a DJ/Turntablist since I was 14, started playing house parties and barbeques for friends and it only went on from there. Graduating to my first live performance in local venues like the, now deceased, Dinkytowner, Red Sea, Blue Nile, and the also now deceased, Urban Wild life. After highschool I immediately began college at The Institute of Production and Recording, this didn’t turn out well as I ended up dropping out after only one year to work, save, etc. But the vinyl never stopped spinning through all of it. Not long after leaving <span class=""caps"">IPR</span> I began delving deep into the local scene, meeting people and networking, getting on mixtapes and albums and sitting in at shows or open mics as often as possible. Also along the way, recording a great deal of original music, collaborating with my many music friends, and generally trying to find a semi permanent outlet in the form of one genre of music or another. This also proved to not work out well, as i have, and still do, play with many different genres of music. I also work independently as a Wedding and Event DJ which is a direction I would like to continue going in just for side work.</p> <p>I like to think that i have a Bruce Lee way of going about my musical endeavors, “The style of no style. Flow like water”. I simply wish to push the envelope, as many other DJ/Turntablists are doing, of the acceptable mediums for DJs and Turntablists in general.</p> <p>As of the last 5+ years, I have stayed busy with my friend and collaborator Nobuddie, playing hundreds of shows and recording equally as many tracks, waiting for the right time and material to release to the public. My other main project, is arguably, the funkiest super-group in the Twin Cities, P.B. & The Jam. Having been a band for less than 2 years, we have accomplished much, played much, written much, and have garnered a bunch of acclaim because of it all. I have also been featured on a revolutionary video game called Jam Party, in which the player gets to create/arrange/perform music from local and national artists (soon to be available on PC, Xbox 360, Nintendo Wii, Playstation 3, Iphones, and Androids). I have been blessed with great, talented friends… We as a state are blessed with an ever blossoming music and art community, which in turn blesses the individual artists and the fans for having a healthy, active music scene that attracts live acts from around the country and the world. I have had the blessing of being able to open/perform with many of my personal heros and influences, such as:</p> <p>Method Man/Redman<br /> Eyedea & Abilities<br /> <span class=""caps"">POS</span> of Doom Tree<br /> Prof/Fundo<br /> Joell Ortiz<br /> Tech N9ne<br /> D-12<br /> DJ Logic<br /> Mr. Dibbs<br /> St. Paul Slim<br /> Bone Thugs n’ Harmony<br /> Wookiefoot<br /> Heatbox<br /> House of Pain/Everlast<br /> Cunninlynguists<br /> Greives<br /> Mac Lethal<br /> George Clinton/Parliment<br /> Soulcrate<br /> The Crest<br /> King Sandman</p> <p>Just to name a few…</p> <p>I have been able to meet alot of people, go alot of places, and do alot of amazing things. None of this mentions the amazing people that i have the pleasure and joy of performing with on a regular basis in the Twin Cities…</p> <p>big shout outs go to: Out of Bounds, Fill in The Breaks crew, Hecatomb, Stophouse, The Background Noize Crew, Option 2, Wide Eyes, Moonlight Grammar, Mercies May, Desdamona, Big Jess & Unknown Prophets, More than Lights, Bottom Feeders, New Reb, Jon Wayne & The Payne, Root City Band, and too many others to name.</p> </div>","http://s3.amazonaws.com/dostuff-production/photos/5464675/e7e054a10e3a313f8d80840cb4f78341_poster.jpeg",""
"http://do512.com/c/sx2013/bands/sine-circle","Sine Circle","1502, San Diego, CA","","Sassan Zaker is relentlessly attempting to discover an elevated future sound while still blending organic musical elements. This music in it’s present form has now emerged.","<p>Sassan Zaker is relentlessly attempting to discover an elevated future sound while still blending organic musical elements. This music in it’s present form has now emerged.</p> </div>","http://s3.amazonaws.com/dostuff-production/photos/6934401/3ab61060e57e26f633321dfd01f0ecc9_poster.jpeg",""
"http://do512.com/c/sx2013/bands/last-triumph","Last Triumph","Twin Cities","","Art. Music.Technology.Photography.Design.Art.","<p>Art. <br>Music.<br>Technology.<br>Photography.<br>Design.<br>Art. <br></p> </div>","http://s3.amazonaws.com/dostuff-production/photos/6934395/cea103ca137386711a80c385ca2d3108_poster.jpeg",""
"http://do512.com/c/sx2013/bands/jam-live-music-arcade","JAM Live Music Arcade (Xbox360 & PS3)","","","","","http://s3.amazonaws.com/dostuff-production/photos/6926373/JAM_Flyer_front_poster.jpg",""
"http://do512.com/c/sx2013/bands/spirit-animal","Spirit Animal","","","","","http://s3.amazonaws.com/dostuff-production/photos/832647/l_3452adffe15242e0af7395a4b5f07d64_poster.jpg","http://www.youtube.com/e/15C_gYgzjuc?enablejsapi=1&version=3"
"http://do512.com/c/sx2013/bands/natural-child","Natural Child","NASHVILLE, Tennessee","irl","","","http://s3.amazonaws.com/dostuff-production/photos/7068794/44db34b01e1ea42b96a58cce38054e71_poster.jpeg","http://www.youtube.com/e/nwzYM4U_OtU?enablejsapi=1&version=3"
